Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BZ1,Buzzer,Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm,127.629216,-113.75,0.0,top
C1,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,103.275,-100.7,0.0,top
C10,2.2u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,162.75,-98.0,90.0,top
C11,22u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,116.1125,-110.0,0.0,top
C12,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,175.8875,-89.25,0.0,top
C13,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,129.25,-94.0,-90.0,top
C14,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,136.25,-89.0,0.0,top
C15,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,175.8625,-87.5,0.0,top
C16,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,166.0,-101.25,0.0,top
C17,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,156.75,-96.75,90.0,top
C18,10u,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,141.0,-107.25,90.0,top
C19,10u,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,165.6875,-105.5,0.0,top
C2,4.7u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,108.75,-104.55,-90.0,top
C20,2.2u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,121.5,-99.5,180.0,top
C21,470u,CP_Radial_D10.0mm_P5.00mm,137.25,-98.132323,-90.0,top
C22,470u,CP_Radial_D10.0mm_P5.00mm,148.25,-98.132323,-90.0,top
C23,10u,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,151.0,-107.5,90.0,top
C24,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,175.8625,-85.75,0.0,top
